
   The included below is "mass table" calculated with the NL3* covariant 
energy density functional. It represent a part of the study of the global
performance of covariant energy density functionals and assesment of 
related systematic theoretical uncertainties. The major results of this
study are presented in the following publication: 

      S. E. Agbemava, A. V. Afanasjev, D. Ray and P. Ring,
     "Global performance of covariant energy density functionals: 
      Ground state observables of even-even nuclei and the estimate 
      of theoretical uncertainties", 
      Physical Review C 89, 054320 (2014)

with additional analysis provided in two follow-up publications 

      A.V.Afanasjev and S.E.Agbemava,
      "Covariant energy density functionals: Nuclear matter constraints 
       and global ground state properties"
      Phys. Rev. C 93, 054310 (2016)

      A.V. Afanasjev, S.E. Agbemava, D. Ray and P.Ring,
      "Neutron drip line: Single-particle degrees of freedom and
      pairing properties as sources of theoretical uncertainties"
      Phys. Rev. C 91, 014324 (2015).

 
  If you have questions, please, contact Anatoli Afanasjev at 
           Anatoli.Afanasjev@gmail.com

------------------------------------------------------------------------

  THE NOTATION OF THE OBSERVABLES INCLUDED INTO TABLE
 
  Z    - proton number
  N    - neutron number
 def   - equilibrium quadrupole deformation
  E    - total binding energy  (in MeV)
Lam_n  - neutron chemical potential  (in MeV)
Lam_p  - proton chemical potential (in MeV)
Ep_n   - neutron pairing energy  (in MeV)
Ep_p   - proton pairing energy  (in MeV)
Rc     - charge radius  (in fm)
B2_n   - neutron quadrupole deformation
B2_p   - proton quadrupole deformation
B4_n   - neutron hexadecapole deformation
B4_p   - neutron hexadecapole deformation
R2_n   - neutron mass radius (in fm)
R2_p   - proton mass radius (in fm)

c --------------------------------------------------------------------------
    This part of Fortran subroutine shows the formating used in the reading
    of the data from the table. 
  
     icount=2004
      do i=1,icount
        read(20,805) Z,N,def,E,ALam_n,ALam_p,Ep_n,Ep_p,Rc,
     *                B2_n,B2_p,B4_n,B4_p,R2_n,R2_p
      enddo
  6  10  0.163   -112.302  -3.1 -17.2  -7.60  -1.16  2.557  0.195  0.111  0.037  0.011  2.894  2.429
  6  12 -0.345   -117.896  -2.8 -24.4  -8.62   0.00  2.610 -0.379 -0.277  0.135  0.056  3.117  2.484
  6  14 -0.382   -122.117  -1.7 -27.2  -7.12   0.00  2.652 -0.414 -0.308  0.121  0.068  3.300  2.529
  6  16  0.000   -124.339  -1.1 -25.3  -9.94  -3.13  2.636  0.000  0.000  0.000  0.000  3.450  2.512
  6  18  0.000   -125.316  -0.3 -26.8 -10.83  -4.38  2.694  0.000  0.000  0.000  0.000  3.640  2.572
  8   4  0.000    -63.129 -19.2  -2.5  -6.39   0.00  2.979  0.000  0.000  0.000  0.000  2.307  2.869
  8   6  0.000    -99.521 -16.9  -6.2  -1.24   0.00  2.758  0.000  0.000  0.000  0.000  2.390  2.639
  8   8  0.000   -128.114 -15.2 -11.5   0.00   0.00  2.735  0.000  0.000  0.000  0.000  2.588  2.616
  8  10  0.000   -141.715  -6.5 -15.4  -7.41   0.00  2.728  0.000  0.000  0.000  0.000  2.792  2.608
  8  12  0.000   -153.432  -5.6 -19.0  -9.68   0.00  2.730  0.000  0.000  0.000  0.000  2.953  2.610
  8  14  0.000   -163.311  -4.6 -21.9  -8.88   0.00  2.739  0.000  0.000  0.000  0.000  3.105  2.620
  8  16  0.000   -170.970  -3.2 -24.1  -6.63   0.00  2.759  0.000  0.000  0.000  0.000  3.267  2.640
  8  18  0.000   -175.817  -2.0 -26.2  -7.68   0.00  2.807 -0.001  0.000  0.000  0.000  3.425  2.690
  8  20  0.000   -178.525  -0.6 -28.1  -3.71   0.00  2.853  0.000  0.000  0.000  0.000  3.574  2.738
 10   8  0.000   -134.073 -19.0  -2.4   0.00  -7.57  2.955  0.000  0.000  0.000  0.000  2.591  2.844
 10  10  0.499   -155.807 -11.2  -7.0  -1.65  -1.71  2.973  0.492  0.506  0.417  0.440  2.830  2.863
 10  12  0.462   -174.789  -8.2 -10.8  -2.13  -2.69  2.941  0.474  0.447  0.169  0.254  2.945  2.830
 10  14  0.253   -189.107  -6.7 -12.6  -5.65  -4.55  2.907  0.243  0.266  0.054  0.091  3.039  2.795
 10  16  0.000   -201.070  -5.4 -14.3  -5.49  -6.70  2.900  0.000  0.000  0.000  0.000  3.173  2.787
 10  18  0.000   -210.169  -4.1 -16.4  -6.89  -6.95  2.949  0.000  0.000  0.000  0.000  3.321  2.838
 10  20  0.000   -216.993  -2.0 -18.5  -0.09  -7.17  2.996  0.000  0.000  0.000  0.000  3.444  2.887
 10  22  0.244   -218.809  -1.2 -20.2  -9.41  -5.68  3.035  0.262  0.205  0.179  0.077  3.649  2.928
 10  24  0.410   -220.822  -0.8 -22.3 -11.25  -3.40  3.093  0.438  0.341  0.254  0.189  3.817  2.988
 10  26  0.410   -221.798  -0.4 -23.5 -15.18  -3.53  3.117  0.437  0.338  0.142  0.170  3.980  3.013
 10  28  0.355   -222.075  -0.1 -24.3 -18.95  -4.07  3.131  0.371  0.310  0.064  0.133  4.129  3.027
 12   8  0.000   -136.904 -22.3  -0.9   0.00 -10.32  3.143  0.000  0.000  0.000  0.000  2.602  3.040
 12  10  0.469   -165.631 -14.9  -3.3  -2.58  -2.70  3.103  0.443  0.492  0.255  0.184  2.812  2.998
 12  12  0.493   -193.033 -14.5  -9.5   0.00   0.00  3.053  0.487  0.498  0.102  0.103  2.913  2.946
 12  14 -0.293   -211.911 -12.7 -10.7   0.00  -5.51  3.019 -0.303 -0.282  0.114  0.101  2.994  2.911
 12  16  0.269   -227.848  -7.3 -12.3  -4.45  -3.61  3.040  0.251  0.293 -0.010  0.024  3.135  2.933
 12  18  0.000   -241.024  -6.3 -14.6  -6.55  -7.65  3.046  0.000  0.000  0.000  0.000  3.252  2.939
 12  20  0.000   -252.155  -7.2 -16.8   0.00  -7.97  3.090  0.000  0.000  0.000  0.000  3.368  2.985
 12  22  0.307   -257.440  -3.3 -18.2  -7.81  -4.23  3.146  0.308  0.307  0.194  0.097  3.538  3.043
 12  24  0.420   -263.100  -2.4 -19.6  -8.11  -1.92  3.196  0.431  0.398  0.193  0.124  3.679  3.095
 12  26  0.443   -266.903  -1.6 -21.1 -10.45  -1.45  3.227  0.461  0.406  0.081  0.100  3.815  3.126
 12  28  0.431   -269.351  -1.0 -22.5 -12.60  -1.64  3.251  0.446  0.396 -0.008  0.078  3.947  3.151
 12  30  0.379   -270.773  -0.6 -23.4 -16.04  -2.40  3.267  0.382  0.370 -0.033  0.064  4.080  3.168
 12  32  0.303   -271.570  -0.3 -24.3 -18.78  -3.70  3.276  0.295  0.325 -0.023  0.050  4.197  3.177
 12  34  0.207   -271.895  -0.1 -25.3 -19.92  -5.96  3.278  0.193  0.247 -0.005  0.033  4.292  3.179
 14   8 -0.001   -136.909 -24.9   0.5   0.00 -10.09  3.330  0.000 -0.001  0.000  0.000  2.618  3.232
 14  10  0.287   -169.708 -16.6  -1.4  -4.33  -6.67  3.228  0.291  0.283  0.108  0.065  2.792  3.127
 14  12  0.388   -201.280 -14.3  -3.4  -0.01  -5.41  3.180  0.406  0.372  0.060  0.033  2.913  3.078
 14  14 -0.344   -230.818 -16.1 -10.4   0.00   0.00  3.135 -0.339 -0.349  0.145  0.153  2.995  3.032
 14  16 -0.231   -250.244  -9.5 -12.4  -4.99   0.00  3.120 -0.222 -0.241  0.035  0.066  3.099  3.016
 14  18 -0.002   -267.815  -8.5 -11.8  -6.39  -1.02  3.114 -0.002 -0.002  0.000  0.000  3.196  3.009
 14  20  0.000   -283.273  -9.4 -13.9   0.00  -1.79  3.156  0.000  0.000  0.000  0.000  3.308  3.053
 14  22  0.000   -291.729  -3.9 -15.9  -8.99  -2.00  3.176  0.000  0.000  0.000  0.000  3.423  3.074
 14  24  0.287   -299.648  -3.8 -17.4  -7.69  -5.18  3.246  0.308  0.253  0.120  0.060  3.575  3.146
 14  26 -0.313   -306.799  -3.5 -22.3 -10.10   0.00  3.276 -0.324 -0.294  0.184  0.121  3.703  3.177
 14  28 -0.361   -312.972  -2.5 -24.0  -5.74   0.00  3.315 -0.379 -0.325  0.230  0.143  3.824  3.217
 14  30 -0.335   -316.788  -1.6 -24.8 -10.63   0.00  3.330 -0.350 -0.302  0.127  0.118  3.937  3.233
 14  32 -0.288   -319.440  -1.2 -22.8 -13.22  -1.04  3.341 -0.298 -0.266  0.041  0.086  4.041  3.244
 14  34  0.000   -321.531  -1.1 -23.9 -13.65  -5.04  3.304  0.000  0.000  0.000  0.000  4.111  3.206
 14  36  0.000   -322.984  -0.5 -24.8 -15.48  -6.46  3.344  0.000  0.000  0.000  0.000  4.217  3.247
 14  38  0.000   -323.500  -0.1 -25.6 -16.65  -7.73  3.383  0.000  0.000  0.000  0.000  4.323  3.287
 16  10 -0.001   -170.578 -18.1   0.3  -6.80  -6.05  3.375  0.000 -0.001  0.000  0.000  2.780  3.279
 16  12  0.284   -205.960 -17.0  -1.4  -3.26  -5.19  3.311  0.305  0.268  0.028 -0.012  2.919  3.213
 16  14 -0.241   -238.685 -17.9  -3.3   0.00  -5.08  3.257 -0.245 -0.237  0.068  0.039  2.990  3.157
 16  16  0.000   -264.876 -12.2  -6.1  -3.05  -2.98  3.219  0.000  0.000  0.000  0.000  3.073  3.118
 16  18  0.000   -287.307 -10.7  -8.5  -6.11  -5.68  3.252  0.000  0.000  0.000  0.000  3.206  3.152
 16  20  0.000   -307.187 -11.6 -10.8   0.00  -7.22  3.280  0.000  0.000  0.000  0.000  3.310  3.181
 16  22  0.103   -319.705  -6.1 -12.8  -7.76  -6.81  3.296  0.104  0.101  0.021  0.006  3.418  3.197
 16  24  0.258   -331.724  -5.8 -14.4  -6.80  -2.46  3.325  0.270  0.241  0.061  0.015  3.528  3.227
 16  26  0.291   -341.987  -4.6 -16.2  -6.37  -0.17  3.346  0.306  0.267  0.009 -0.004  3.625  3.249
 16  28  0.305   -349.941  -3.6 -17.6  -8.39  -0.09  3.371  0.326  0.268 -0.015 -0.012  3.741  3.275
 16  30 -0.237   -356.653  -3.1 -19.2 -10.78  -5.80  3.390 -0.252 -0.207  0.042  0.027  3.842  3.294
 16  32 -0.214   -362.193  -2.5 -20.5 -12.03  -6.10  3.409 -0.228 -0.188  0.000  0.013  3.946  3.313
 16  34 -0.144   -366.600  -2.0 -21.6 -13.47  -6.94  3.420 -0.147 -0.137 -0.016  0.001  4.040  3.325
 16  36  0.000   -370.155  -1.6 -22.7 -14.27  -8.75  3.435  0.000  0.000  0.000  0.000  4.127  3.341
 16  38  0.000   -372.706  -1.1 -23.8 -13.39  -9.23  3.473  0.000  0.000  0.000  0.000  4.215  3.380
 16  40  0.000   -374.023  -0.3 -24.7 -12.09  -9.63  3.506  0.000  0.000  0.000  0.000  4.312  3.414
 18  12  0.001   -206.796 -19.1   0.1  -7.83  -6.73  3.442  0.001  0.001  0.000  0.000  2.925  3.347
 18  14  0.001   -243.511 -17.2  -1.8  -1.33  -6.42  3.365  0.001  0.000  0.000  0.000  2.986  3.268
 18  16  0.000   -274.527 -14.6  -4.0  -5.77  -6.22  3.360  0.000  0.000  0.000  0.000  3.116  3.263
 18  18  0.000   -301.975 -13.1  -6.4  -6.50  -6.59  3.368  0.000  0.000  0.000  0.000  3.225  3.272
 18  20  0.000   -326.509 -13.8  -8.7   0.00  -7.13  3.382  0.000  0.000  0.000  0.000  3.318  3.286
 18  22  0.000   -343.120  -7.9 -10.8  -8.14  -7.33  3.387  0.000  0.000  0.000  0.000  3.411  3.291
 18  24  0.084   -358.074  -7.2 -12.6  -9.93  -6.73  3.397  0.091  0.074  0.006  0.001  3.497  3.301
 18  26 -0.128   -371.679  -6.5 -14.2  -9.06  -4.80  3.409 -0.132 -0.123  0.013  0.000  3.578  3.314
 18  28 -0.165   -383.505  -5.4 -15.7  -6.59  -2.90  3.424 -0.171 -0.154  0.023  0.002  3.665  3.330
 18  30 -0.191   -392.995  -4.4 -16.8  -9.41  -1.96  3.452 -0.202 -0.171  0.008 -0.004  3.782  3.358
 18  32 -0.205   -400.945  -3.7 -17.9 -10.99  -1.33  3.481 -0.219 -0.180 -0.007 -0.009  3.891  3.388
 18  34  0.000   -407.753  -3.2 -19.7 -13.84  -7.48  3.482  0.000  0.000  0.000  0.000  3.977  3.389
 18  36  0.000   -413.601  -2.7 -20.9 -14.23  -7.63  3.514  0.000  0.000  0.000  0.000  4.066  3.421
 18  38  0.000   -418.433  -2.2 -22.0 -12.21  -7.78  3.548  0.000  0.000  0.000  0.000  4.147  3.456
 18  40  0.000   -421.843  -1.1 -23.1  -7.81  -7.89  3.580  0.000  0.000  0.000  0.000  4.226  3.490
 18  42  0.000   -423.023  -0.4 -23.9 -16.39  -7.95  3.600  0.000  0.000  0.000  0.000  4.344  3.510
 18  44  0.000   -423.494  -0.2 -24.5 -23.11  -8.02  3.616  0.000  0.000  0.000  0.000  4.465  3.527
 18  46  0.000   -423.667  -0.1 -25.1 -28.20  -8.09  3.632  0.000  0.000  0.000  0.000  4.580  3.543
 18  48 -0.141   -423.667   0.0 -25.5 -30.33  -6.66  3.655 -0.158 -0.095  0.032  0.002  4.683  3.566
 20  14  0.000   -245.153 -19.2  -2.2  -2.66   0.00  3.492  0.000  0.000  0.000  0.000  3.037  3.400
 20  16  0.000   -280.472 -16.8  -1.0  -7.33   0.00  3.475  0.000  0.000  0.000  0.000  3.152  3.382
 20  18  0.000   -312.507 -15.4  -6.5  -7.07   0.00  3.469  0.000  0.000  0.000  0.000  3.248  3.376
 20  20  0.000   -341.582 -16.1  -8.8   0.00   0.00  3.470  0.000  0.000  0.000  0.000  3.329  3.377
 20  22  0.000   -362.320  -9.9 -11.0  -7.90   0.00  3.468  0.000  0.000  0.000  0.000  3.414  3.375
 20  24  0.000   -381.176  -9.1 -12.9 -10.12   0.00  3.469  0.000  0.000  0.000  0.000  3.490  3.376
 20  26  0.000   -398.410  -8.3 -11.0  -8.75   0.00  3.472  0.000  0.000  0.000  0.000  3.557  3.378
 20  28  0.000   -413.670  -6.8 -15.8  -2.80   0.00  3.474  0.000  0.000  0.000  0.000  3.617  3.381
 20  30  0.000   -425.579  -5.6 -17.5  -8.90   0.00  3.498  0.000  0.000  0.000  0.000  3.735  3.405
 20  32  0.000   -435.957  -4.9 -19.0 -12.00   0.00  3.522  0.000  0.000  0.000  0.000  3.839  3.429
 20  34  0.000   -445.132  -4.4 -20.2 -14.10   0.00  3.549  0.000  0.000  0.000  0.000  3.934  3.458
 20  36  0.000   -453.284  -3.9 -21.3 -14.35   0.00  3.578  0.000  0.000  0.000  0.000  4.020  3.488
 20  38  0.000   -460.421  -3.3 -22.3 -11.85   0.00  3.608  0.000  0.000  0.000  0.000  4.097  3.518
 20  40  0.000   -466.065  -2.1 -23.4  -6.03   0.00  3.637  0.000  0.000  0.000  0.000  4.170  3.548
 20  42  0.000   -468.951  -1.2 -24.3 -14.66   0.00  3.658  0.000  0.000  0.000  0.000  4.258  3.570
 20  44  0.000   -470.889  -0.9 -25.1 -20.97   0.00  3.677  0.000  0.000  0.000  0.000  4.354  3.589
 20  46  0.000   -472.393  -0.7 -25.8 -25.68   0.00  3.694  0.000  0.000  0.000  0.000  4.452  3.606
 20  48  0.000   -473.595  -0.6 -26.4 -29.21   0.00  3.710  0.000  0.000  0.000  0.000  4.549  3.623
 20  50  0.000   -474.545  -0.4 -27.1 -31.76   0.00  3.726  0.000  0.000  0.000  0.000  4.642  3.639
 20  52  0.000   -475.252  -0.3 -27.6 -33.43   0.00  3.741  0.000  0.000  0.000  0.000  4.732  3.654
 20  54  0.000   -475.706  -0.2 -28.2 -34.34   0.00  3.756  0.000  0.000  0.000  0.000  4.819  3.670
 20  56  0.000   -475.879   0.0 -28.7 -34.64   0.00  3.771  0.000  0.000  0.000  0.000  4.903  3.685
 22  18  0.000   -314.618 -17.4  -0.4  -7.29  -8.68  3.575  0.000  0.000  0.000  0.000  3.261  3.484
 22  20  0.000   -347.759 -18.3  -2.3   0.00  -8.28  3.564  0.000  0.000  0.000  0.000  3.335  3.473
 22  22  0.000   -372.370 -11.8  -4.2  -7.68  -7.97  3.556  0.000  0.000  0.000  0.000  3.416  3.465
 22  24  0.186   -395.167 -11.1  -7.0  -5.97  -5.72  3.568  0.194  0.177  0.093  0.097  3.502  3.477
 22  26  0.000   -416.094 -10.1  -8.0  -7.88  -7.57  3.548  0.000  0.000  0.000  0.000  3.547  3.457
 22  28  0.000   -435.228 -11.4 -10.0   0.00  -7.41  3.543  0.000  0.000  0.000  0.000  3.596  3.452
 22  30 -0.001   -449.235  -6.7 -11.0  -8.26  -7.53  3.572 -0.001  0.000  0.000  0.000  3.713  3.481
 22  32  0.000   -461.897  -6.1 -12.2 -12.22  -7.65  3.598  0.000  0.000  0.000  0.000  3.813  3.508
 22  34  0.000   -473.449  -5.6 -13.4 -14.42  -7.79  3.626  0.000  0.000  0.000  0.000  3.902  3.536
 22  36  0.000   -484.005  -5.1 -14.6 -14.48  -7.92  3.654  0.000  0.000  0.000  0.000  3.984  3.565
 22  38  0.000   -493.532  -4.5 -15.8 -11.74  -8.06  3.682  0.000  0.000  0.000  0.000  4.059  3.594
 22  40  0.000   -501.539  -3.3 -17.0  -5.38  -8.18  3.710  0.000  0.000  0.000  0.000  4.129  3.623
 22  42  0.000   -506.553  -2.2 -18.1 -13.08  -8.24  3.732  0.000  0.000  0.000  0.000  4.201  3.645
 22  44  0.000   -510.369  -1.8 -19.1 -18.23  -8.31  3.752  0.000  0.000  0.000  0.000  4.276  3.666
 22  46  0.166   -513.563  -1.6 -20.5 -18.46  -6.87  3.783  0.181  0.133  0.093  0.056  4.371  3.697
 22  48  0.188   -516.343  -1.3 -21.4 -20.88  -6.88  3.803  0.207  0.145  0.084  0.056  4.459  3.718
 22  50  0.171   -518.566  -1.0 -22.0 -24.12  -7.22  3.817  0.190  0.128  0.051  0.040  4.543  3.732
 22  52  0.120   -520.386  -0.9 -22.4 -27.39  -7.81  3.827  0.133  0.089  0.019  0.018  4.624  3.742
 22  54  0.000   -521.939  -0.7 -22.7 -29.75  -8.56  3.835  0.000  0.000  0.000  0.000  4.705  3.751
 22  56  0.000   -523.175  -0.6 -23.2 -30.11  -8.61  3.850  0.000  0.000  0.000  0.000  4.791  3.766
 22  58  0.000   -524.031  -0.3 -23.7 -30.06  -8.66  3.865  0.000  0.000  0.000  0.000  4.874  3.781
 22  60  0.000   -524.456  -0.1 -24.2 -30.01  -8.73  3.881  0.000  0.000  0.000  0.000  4.954  3.797
 24  20  0.000   -350.894 -20.3  -1.0   0.00 -10.86  3.651  0.000  0.000  0.000  0.000  3.344  3.562
 24  22  0.182   -379.351 -14.5  -2.9  -5.43  -6.75  3.651  0.167  0.196  0.089  0.098  3.436  3.563
 24  24  0.300   -407.648 -13.2  -5.0  -0.96  -1.40  3.663  0.296  0.304  0.171  0.180  3.524  3.575
 24  26  0.237   -431.622 -11.2  -6.9  -2.96  -4.05  3.643  0.234  0.241  0.059  0.084  3.568  3.554
 24  28  0.000   -453.507 -13.3  -8.4   0.00  -8.92  3.606  0.000  0.000  0.000  0.000  3.587  3.517
 24  30  0.203   -470.196  -8.2  -9.9  -5.33  -5.51  3.662  0.205  0.199  0.060  0.065  3.716  3.573
 24  32  0.206   -485.446  -7.2 -11.2  -9.02  -5.78  3.690  0.210  0.201  0.026  0.049  3.808  3.602
 24  34  0.168   -499.138  -6.6 -12.3 -11.71  -6.88  3.709  0.169  0.168  0.000  0.024  3.888  3.621
 24  36  0.078   -511.763  -6.2 -13.3 -13.73  -9.07  3.722  0.077  0.081 -0.003  0.003  3.958  3.635
 24  38  0.000   -523.662  -5.7 -14.4 -11.71  -9.98  3.745  0.000  0.000  0.000  0.000  4.029  3.658
 24  40  0.000   -534.018  -4.4 -15.6  -5.62 -10.15  3.770  0.000  0.000  0.000  0.000  4.097  3.684
 24  42  0.000   -541.394  -3.3 -16.8 -12.08 -10.22  3.790  0.000  0.000  0.000  0.000  4.160  3.705
 24  44  0.208   -547.787  -3.3 -18.1 -11.25  -5.47  3.833  0.207  0.210  0.135  0.102  4.250  3.749
 24  46  0.248   -553.583  -2.6 -19.2 -12.06  -4.66  3.860  0.254  0.238  0.139  0.109  4.329  3.776
 24  48  0.272   -558.149  -2.0 -20.1 -13.97  -4.68  3.882  0.285  0.247  0.126  0.101  4.412  3.799
 24  50  0.271   -561.717  -1.6 -20.9 -16.90  -5.36  3.899  0.287  0.239  0.089  0.084  4.490  3.816
 24  52  0.252   -564.541  -1.3 -21.5 -20.21  -6.24  3.913  0.267  0.219  0.048  0.065  4.567  3.830
 24  54  0.215   -566.850  -1.1 -22.1 -23.18  -7.25  3.922  0.227  0.189  0.019  0.046  4.642  3.840
 24  56  0.158   -568.799  -0.9 -22.5 -25.42  -8.64  3.927  0.164  0.142  0.003  0.025  4.716  3.845
 24  58  0.000   -570.503  -0.8 -22.8 -26.66 -10.95  3.925  0.000  0.000  0.000  0.000  4.788  3.843
 24  60  0.000   -571.857  -0.6 -23.3 -27.10 -11.09  3.943  0.000  0.000  0.000  0.000  4.867  3.861
 24  62  0.000   -572.714  -0.3 -23.7 -27.72 -11.27  3.962  0.000  0.000  0.000  0.000  4.941  3.881
 24  64  0.000   -573.058  -0.1 -24.2 -28.67 -11.50  3.985  0.000  0.000  0.000  0.000  5.012  3.904
 26  20  0.000   -351.324 -21.7   0.4   0.00 -10.37  3.733  0.000  0.000  0.000  0.000  3.355  3.646
 26  22  0.000   -383.331 -15.6  -1.4  -7.40  -8.75  3.707  0.000  0.000  0.000  0.000  3.426  3.619
 26  24  0.247   -414.660 -15.1  -2.4  -3.48  -3.83  3.720  0.244  0.250  0.090  0.073  3.515  3.633
 26  26  0.231   -443.142 -13.1  -4.3  -0.01  -0.29  3.697  0.229  0.234 -0.002 -0.003  3.559  3.609
 26  28  0.000   -468.793 -15.1  -7.0   0.00  -6.74  3.662  0.000  0.000  0.000  0.000  3.581  3.574
 26  30  0.191   -487.836  -9.6  -7.8  -4.68  -3.65  3.715  0.195  0.187  0.039  0.028  3.702  3.628
 26  32  0.215   -505.803  -8.6  -9.0  -7.80  -2.76  3.749  0.220  0.210  0.000  0.008  3.795  3.663
 26  34  0.198   -521.986  -7.7 -10.3  -9.68  -3.12  3.771  0.200  0.195 -0.027 -0.008  3.872  3.685
 26  36  0.101   -536.809  -7.3 -11.8 -13.03  -6.54  3.780  0.100  0.103 -0.010 -0.003  3.937  3.694
 26  38  0.000   -551.056  -6.9 -13.0 -11.66  -7.95  3.798  0.000  0.000  0.000  0.000  4.003  3.713
 26  40  0.000   -563.730  -5.7 -14.2  -6.39  -8.13  3.821  0.000  0.000  0.000  0.000  4.069  3.736
 26  42  0.000   -573.585  -4.5 -15.4 -11.57  -8.19  3.840  0.000  0.000  0.000  0.000  4.128  3.755
 26  44  0.137   -582.038  -4.2 -16.4 -11.83  -6.32  3.869  0.135  0.141  0.052  0.035  4.197  3.785
 26  46  0.193   -589.850  -3.6 -17.3 -10.54  -5.38  3.897  0.194  0.192  0.064  0.044  4.268  3.814
 26  48  0.218   -596.257  -2.9 -18.2 -11.94  -5.10  3.920  0.225  0.206  0.056  0.036  4.344  3.837
 26  50  0.241   -601.505  -2.4 -18.9 -13.78  -5.09  3.942  0.253  0.217  0.049  0.032  4.426  3.860
 26  52  0.235   -605.787  -2.0 -19.7 -16.71  -5.44  3.959  0.248  0.207  0.024  0.024  4.502  3.878
 26  54  0.203   -609.357  -1.7 -20.4 -19.54  -6.24  3.969  0.215  0.177  0.002  0.016  4.573  3.888
 26  56  0.147   -612.407  -1.4 -21.2 -22.09  -7.55  3.974  0.156  0.128 -0.006  0.008  4.644  3.893
 26  58  0.000   -615.091  -1.3 -21.8 -24.34  -9.24  3.975  0.000  0.000  0.000  0.000  4.719  3.893
 26  60  0.000   -617.375  -1.0 -22.3 -25.42  -9.49  3.993  0.000  0.000  0.000  0.000  4.796  3.912
 26  62  0.000   -619.182  -0.8 -22.7 -26.23  -9.81  4.015  0.000  0.000  0.000  0.000  4.867  3.934
 26  64  0.000   -620.504  -0.6 -23.2 -26.70 -10.20  4.039  0.000  0.000  0.000  0.000  4.933  3.959
 26  66  0.000   -621.325  -0.3 -23.7 -26.65 -10.65  4.066  0.000  0.000  0.000  0.000  4.996  3.986
