
   The included below is "mass table" calculated with the DD-ME$\delta$ covariant 
energy density functional. It represent a part of the study of the global
performance of covariant energy density functionals and assesment of 
related systematic theoretical uncertainties. The major results of this
study are presented in the following publication: 

      S. E. Agbemava, A. V. Afanasjev, D. Ray and P. Ring,
     "Global performance of covariant energy density functionals: 
      Ground state observables of even-even nuclei and the estimate 
      of theoretical uncertainties", 
      Physical Review C 89, 054320 (2014)

with additional analysis provided in two follow-up publications 

      A.V.Afanasjev and S.E.Agbemava,
      "Covariant energy density functionals: Nuclear matter constraints 
       and global ground state properties"
      Phys. Rev. C 93, 054310 (2016)

      A.V. Afanasjev, S.E. Agbemava, D. Ray and P.Ring,
      "Neutron drip line: Single-particle degrees of freedom and
      pairing properties as sources of theoretical uncertainties"
      Phys. Rev. C 91, 014324 (2015).

 
  If you have questions, please, contact Anatoli Afanasjev at 
           Anatoli.Afanasjev@gmail.com

------------------------------------------------------------------------

  THE NOTATION OF THE OBSERVABLES INCLUDED INTO TABLE
 
  Z    - proton number
  N    - neutron number
 def   - equilibrium quadrupole deformation
  E    - total binding energy  (in MeV)
Lam_n  - neutron chemical potential  (in MeV)
Lam_p  - proton chemical potential (in MeV)
Ep_n   - neutron pairing energy  (in MeV)
Ep_p   - proton pairing energy  (in MeV)
Rc     - charge radius  (in fm)
B2_n   - neutron quadrupole deformation
B2_p   - proton quadrupole deformation
B4_n   - neutron hexadecapole deformation
B4_p   - neutron hexadecapole deformation
R2_n   - neutron mass radius (in fm)
R2_p   - proton mass radius (in fm)

c --------------------------------------------------------------------------
    This part of Fortran subroutine shows the formating used in the reading
    of the data from the table. 
  
     icount=1686
      do i=1,icount
        read(20,805) Z,N,def,E,ALam_n,ALam_p,Ep_n,Ep_p,Rc,
     *                B2_n,B2_p,B4_n,B4_p,R2_n,R2_p
      enddo
  6  14 -0.486   -118.145  -0.9 -28.9  -0.46   0.00  2.710 -0.529 -0.386  0.278  0.118  3.213  2.589
  8   4 -0.001    -58.838 -20.5  -2.3  -6.53   0.00  2.890  0.000 -0.001  0.000  0.000  2.288  2.777
  8   6  0.000    -98.225 -17.5  -7.3  -4.22   0.00  2.726  0.000  0.000  0.000  0.000  2.414  2.606
  8   8  0.000   -129.026 -16.3 -12.3   0.00   0.00  2.691  0.000  0.000  0.000  0.000  2.540  2.569
  8  10  0.000   -141.992  -6.0 -16.4  -6.89   0.00  2.704  0.000  0.000  0.000  0.000  2.744  2.583
  8  12  0.000   -152.793  -5.1 -20.1  -8.81   0.00  2.720  0.000  0.000  0.000  0.000  2.895  2.600
  8  14  0.000   -161.884  -4.1 -23.3  -7.42   0.00  2.739  0.000  0.000  0.000  0.000  3.030  2.619
  8  16  0.000   -168.465  -2.7 -25.7  -5.46   0.00  2.764  0.000  0.000  0.000  0.000  3.185  2.646
  8  18  0.000   -172.105  -1.6 -28.3  -6.13   0.00  2.806  0.000  0.000  0.000  0.000  3.316  2.690
  8  20  0.000   -174.393   0.2 -30.8   0.00   0.00  2.848 -0.001  0.000  0.000  0.000  3.416  2.733
 10   8  0.000   -133.928 -20.2  -1.8   0.00  -7.03  2.912  0.000 -0.001  0.000  0.000  2.563  2.800
 10  10  0.499   -157.957 -10.8  -6.4  -0.48  -0.63  2.942  0.494  0.506  0.451  0.472  2.796  2.831
 10  12  0.497   -176.148  -7.7 -10.6  -1.80  -2.01  2.949  0.507  0.484  0.203  0.309  2.929  2.838
 10  14  0.326   -189.125  -6.3 -12.7  -5.89  -4.07  2.934  0.320  0.335  0.070  0.138  3.020  2.823
 10  16  0.222   -200.249  -5.1 -15.0  -5.26  -5.35  2.940  0.214  0.233  0.000  0.046  3.127  2.829
 10  18  0.000   -208.793  -4.2 -16.9  -6.17  -7.12  2.954  0.000  0.000  0.000  0.000  3.232  2.843
 10  20  0.000   -216.278  -1.6 -19.5   0.00  -7.26  2.989  0.000  0.000  0.000  0.000  3.324  2.880
 12   8  0.000   -135.343 -23.6  -0.2   0.00  -9.41  3.094  0.000  0.000  0.000  0.000  2.588  2.989
 12  10  0.403   -166.069 -14.1  -3.0  -3.21  -3.89  3.059  0.382  0.415  0.198  0.140  2.785  2.952
 12  12  0.400   -192.582 -11.1  -6.0  -1.79  -2.12  3.035  0.397  0.403  0.058  0.056  2.891  2.927
 12  14  0.466   -212.308  -8.8  -9.4  -4.86  -0.99  3.089  0.455  0.478  0.036  0.083  3.049  2.984
 12  16  0.353   -228.623  -7.2 -12.1  -1.85  -2.67  3.078  0.334  0.379 -0.019  0.034  3.113  2.972
 12  18 -0.169   -240.931  -6.3 -14.8  -3.79  -7.59  3.074 -0.166 -0.174 -0.013  0.017  3.199  2.968
 12  20  0.000   -252.630  -7.9 -17.1   0.00  -8.56  3.089  0.000  0.000  0.000  0.000  3.275  2.983
 12  22  0.268   -256.595  -2.7 -18.9  -4.50  -6.17  3.146  0.270  0.264  0.211  0.105  3.431  3.043
 12  24  0.408   -261.463  -1.8 -20.6  -3.42  -3.86  3.208  0.416  0.391  0.228  0.149  3.561  3.106
 12  26  0.443   -263.586  -0.9 -22.4  -6.66  -3.45  3.245  0.460  0.408  0.106  0.116  3.697  3.145
 12  28  0.453   -264.529  -0.2 -24.2  -6.67  -3.48  3.276  0.471  0.410  0.000  0.085  3.820  3.177
 14  10  0.354   -168.921 -17.0  -0.8  -3.81  -6.43  3.209  0.351  0.356  0.153  0.079  2.813  3.108
 14  12  0.477   -201.592 -14.4  -3.2  -0.85  -4.99  3.209  0.476  0.478  0.087  0.033  2.958  3.108
 14  14 -0.410   -230.649 -16.4 -10.5   0.00   0.00  3.187 -0.404 -0.416  0.208  0.220  3.044  3.085
 14  16 -0.321   -250.433  -9.4  -9.3  -4.83  -0.01  3.177 -0.308 -0.336  0.076  0.131  3.121  3.074
 14  18 -0.229   -268.418  -8.1 -11.9  -0.79  -3.92  3.174 -0.223 -0.236 -0.016  0.033  3.188  3.071
 14  20  0.000   -284.297 -10.3 -14.0   0.00  -5.43  3.170  0.000  0.000  0.000  0.000  3.249  3.067
 14  22  0.160   -291.867  -4.0 -16.1  -5.58  -6.12  3.210  0.165  0.152  0.084  0.040  3.371  3.109
 14  24  0.323   -299.807  -3.6 -17.8  -3.65  -6.42  3.269  0.337  0.299  0.155  0.080  3.495  3.170
 14  26  0.366   -305.583  -2.6 -19.7  -5.69  -6.16  3.311  0.381  0.338  0.061  0.046  3.608  3.213
 14  28 -0.375   -311.257  -2.0 -24.8   0.00   0.00  3.347 -0.389 -0.348  0.282  0.175  3.718  3.250
 14  30 -0.347   -312.887  -0.8 -22.8  -7.24  -0.61  3.364 -0.359 -0.320  0.153  0.139  3.831  3.267
 14  32 -0.306   -313.799  -0.5 -24.3  -8.88  -4.04  3.377 -0.318 -0.277  0.052  0.089  3.923  3.281
 14  34 -0.254   -314.052   0.0 -25.5  -8.99  -6.16  3.391 -0.260 -0.238 -0.004  0.054  4.017  3.296
 16  12  0.366   -205.694 -17.0  -1.0  -2.48  -3.21  3.295  0.384  0.352  0.041 -0.021  2.957  3.196
 16  14 -0.329   -238.148 -18.1  -3.1   0.00  -5.00  3.281 -0.335 -0.324  0.131  0.082  3.045  3.182
 16  16  0.287   -265.573 -12.4  -6.1  -0.01  -0.39  3.254  0.284  0.291 -0.036 -0.040  3.110  3.154
 16  18 -0.224   -288.814 -10.5  -9.0  -0.01  -5.75  3.273 -0.221 -0.226 -0.027 -0.007  3.199  3.174
 16  20  0.000   -308.983 -12.7 -11.2   0.00  -8.39  3.266  0.000  0.000  0.000  0.000  3.254  3.167
 16  22  0.129   -321.060  -6.0 -13.2  -5.94  -7.15  3.293  0.129  0.128  0.037  0.012  3.359  3.195
 16  24  0.267   -333.050  -5.6 -14.9  -4.51  -3.42  3.332  0.278  0.249  0.085  0.028  3.462  3.234
 16  26  0.291   -342.900  -4.3 -16.6  -4.22  -1.81  3.359  0.304  0.269  0.018  0.003  3.548  3.262
 16  28  0.341   -350.092  -3.1 -17.9  -4.49  -1.13  3.396  0.366  0.297  0.005 -0.001  3.662  3.301
 16  30 -0.258   -355.260  -2.6 -20.1  -7.83  -6.03  3.411 -0.272 -0.231  0.071  0.045  3.744  3.315
 16  32 -0.259   -359.652  -2.0 -21.6  -8.26  -6.25  3.438 -0.274 -0.228  0.029  0.031  3.838  3.344
 16  34 -0.253   -362.916  -1.3 -23.1  -6.55  -6.48  3.466 -0.266 -0.223 -0.003  0.021  3.925  3.372
 16  36 -0.176   -364.586  -0.8 -24.3  -8.32  -7.36  3.477 -0.177 -0.174 -0.038  0.003  4.007  3.384
 16  38  0.000   -365.592  -0.7 -25.5  -9.33 -10.04  3.487  0.000  0.000  0.000  0.000  4.069  3.394
 16  40  0.000   -366.618   0.4 -27.0  -0.25 -10.25  3.520  0.000  0.000  0.000  0.000  4.122  3.428
 18  14 -0.232   -242.971 -17.5  -1.3  -3.87  -1.67  3.362 -0.235 -0.229  0.037 -0.018  3.048  3.266
 18  16 -0.227   -275.401 -15.3  -3.6  -5.66  -0.10  3.356 -0.223 -0.231 -0.005 -0.032  3.139  3.259
 18  18 -0.220   -304.170 -15.8  -8.8   0.00   0.00  3.358 -0.216 -0.223 -0.035 -0.038  3.214  3.262
 18  20  0.000   -329.117 -15.0  -9.1   0.00  -7.24  3.351  0.000  0.000  0.000  0.000  3.265  3.254
 18  22  0.000   -345.296  -7.6 -11.2  -7.05  -7.23  3.367  0.000  0.000  0.000  0.000  3.356  3.270
 18  24  0.103   -359.926  -7.0 -12.8  -8.17  -6.26  3.386  0.113  0.091  0.012  0.002  3.439  3.291
 18  26 -0.121   -373.325  -6.3 -14.7  -7.47  -4.80  3.405 -0.124 -0.117  0.012  0.001  3.511  3.310
 18  28  0.000   -385.365  -4.9 -16.9  -0.33  -6.16  3.413  0.000  0.000  0.000  0.000  3.553  3.318
 18  30 -0.207   -393.486  -4.1 -17.2  -7.67  -0.97  3.462 -0.218 -0.188  0.022  0.001  3.697  3.369
 18  32 -0.233   -400.837  -3.5 -18.3  -7.95  -0.01  3.496 -0.248 -0.206  0.010 -0.004  3.792  3.403
 18  34 -0.241   -406.800  -2.6 -22.5  -5.56   0.00  3.525 -0.257 -0.210 -0.006 -0.007  3.875  3.433
 18  36 -0.183   -411.120  -2.0 -21.4  -7.49  -1.78  3.542 -0.187 -0.173 -0.044 -0.014  3.947  3.450
 18  38  0.000   -414.849  -2.1 -23.4  -9.13  -7.59  3.550  0.000  0.000  0.000  0.000  4.007  3.459
 18  40  0.000   -418.604  -0.6 -24.7   0.00  -7.59  3.578  0.000  0.000  0.000  0.000  4.064  3.488
 20  14  0.000   -244.845 -19.6   1.2  -5.85   0.00  3.440  0.000  0.000  0.000  0.000  3.051  3.345
 20  16  0.000   -281.456 -17.4  -1.0  -8.43  -0.01  3.425  0.000  0.000  0.000  0.000  3.139  3.331
 20  18  0.000   -314.489 -16.0  -7.3  -7.15   0.00  3.422  0.000  0.000  0.000  0.000  3.215  3.328
 20  20  0.000   -344.827 -17.1  -9.5   0.00   0.00  3.425  0.000  0.000  0.000  0.000  3.278  3.330
 20  22  0.000   -365.429  -9.6 -11.2  -7.03   0.00  3.435  0.000  0.000  0.000  0.000  3.364  3.341
 20  24  0.000   -383.736  -8.8 -12.8  -9.24   0.00  3.447  0.000  0.000  0.000  0.000  3.438  3.353
 20  26  0.000   -400.714  -8.1 -14.3  -7.83   0.00  3.459  0.000  0.000  0.000  0.000  3.502  3.365
 20  28  0.000   -416.283  -6.5 -15.8  -0.02   0.00  3.468  0.000  0.000  0.000  0.000  3.552  3.375
 20  30  0.000   -426.608  -5.1 -17.4  -8.26   0.00  3.496  0.000  0.000  0.000  0.000  3.662  3.403
 20  32  0.000   -435.954  -4.6 -18.9 -11.65   0.00  3.522  0.000  0.000  0.000  0.000  3.753  3.430
 20  34  0.000   -444.475  -4.2 -20.3 -13.13   0.00  3.548  0.000  0.000  0.000  0.000  3.832  3.457
 20  36  0.000   -452.287  -3.8 -21.6 -12.48   0.00  3.575  0.000  0.000  0.000  0.000  3.903  3.484
 20  38  0.000   -459.533  -3.4 -19.5  -9.03   0.00  3.601  0.000  0.000  0.000  0.000  3.966  3.511
 20  40  0.000   -465.680  -1.8 -24.1  -0.01   0.00  3.626  0.000  0.000  0.000  0.000  4.023  3.537
 20  42 -0.001   -466.449  -0.3 -21.9  -9.61  -0.01  3.650 -0.002  0.000  0.000  0.000  4.104  3.562
 22  18  0.001   -315.565 -18.0   0.2  -7.20  -7.48  3.525  0.001  0.001  0.000  0.000  3.239  3.433
 22  20  0.000   -350.269 -18.9  -1.8   0.00  -7.35  3.520  0.000  0.000  0.000  0.000  3.298  3.427
 22  22  0.000   -374.334 -11.6  -3.7  -7.05  -7.31  3.525  0.000  0.000  0.000  0.000  3.381  3.433
 22  24  0.220   -397.218 -10.8  -6.8  -4.27  -4.34  3.558  0.230  0.209  0.140  0.146  3.476  3.467
 22  26  0.138   -417.466  -9.7  -7.9  -5.96  -5.87  3.552  0.143  0.132  0.042  0.050  3.522  3.461
 22  28  0.000   -436.566  -8.1  -9.3  -0.01  -7.30  3.549  0.000  0.000  0.000  0.000  3.561  3.458
 22  30  0.149   -449.954  -6.8 -11.2  -6.39  -6.03  3.590  0.160  0.136  0.052  0.053  3.667  3.499
 22  32  0.157   -462.342  -6.0 -12.7  -9.10  -6.29  3.617  0.169  0.141  0.022  0.038  3.749  3.527
 22  34  0.121   -473.496  -5.5 -13.9 -11.10  -6.84  3.637  0.128  0.110 -0.002  0.014  3.820  3.548
 22  36 -0.049   -483.840  -5.1 -14.9 -12.11  -7.66  3.655 -0.052 -0.044 -0.001  0.001  3.883  3.567
 22  38  0.000   -493.664  -4.7 -16.2  -8.97  -7.98  3.678  0.000  0.000  0.000  0.000  3.944  3.590
 22  40  0.000   -502.529  -3.1 -17.4  -0.01  -8.10  3.700  0.000  0.000  0.000  0.000  4.002  3.613
 22  42  0.000   -505.825  -1.6 -18.7  -8.81  -8.23  3.725  0.000  0.000  0.000  0.000  4.064  3.638
 22  44  0.000   -508.417  -1.2 -20.0 -12.60  -8.37  3.749 -0.001  0.000  0.000  0.000  4.125  3.663
 22  46  0.175   -510.814  -1.0 -21.7  -9.62  -6.75  3.785  0.187  0.150  0.105  0.070  4.208  3.700
 22  48  0.171   -512.168  -0.6 -22.6 -11.97  -7.28  3.804  0.187  0.137  0.075  0.048  4.281  3.719
 22  50 -0.003   -512.956  -0.3 -23.2 -13.90  -8.73  3.812 -0.003 -0.002  0.000  0.000  4.324  3.727
 22  52  0.000   -513.122   0.0 -23.9 -15.49  -8.78  3.826  0.000  0.000  0.000  0.000  4.430  3.742
 24  20  0.000   -352.269 -20.5  -0.4   0.00  -9.83  3.605  0.000  0.000  0.000  0.000  3.319  3.515
 24  22  0.222   -380.853 -14.6  -2.4  -3.97  -4.85  3.631  0.203  0.239  0.140  0.156  3.422  3.542
 24  24  0.315   -409.187 -12.8  -4.4  -0.82  -1.27  3.655  0.310  0.319  0.194  0.206  3.510  3.566
 24  26  0.281   -432.298 -10.9  -6.3  -4.54  -3.18  3.656  0.279  0.284  0.104  0.130  3.566  3.567
 24  28  0.000   -453.378  -9.6  -7.6   0.00  -9.27  3.619  0.000  0.000  0.000  0.000  3.571  3.530
 24  30  0.250   -471.320  -8.4  -9.5  -3.32  -4.15  3.681  0.250  0.251  0.095  0.108  3.685  3.593
 24  32  0.233   -486.525  -7.3 -11.0  -6.70  -5.53  3.701  0.236  0.229  0.025  0.057  3.757  3.613
 24  34  0.207   -500.211  -6.5 -12.4  -6.82  -6.68  3.720  0.210  0.202 -0.026  0.013  3.821  3.633
 24  36  0.126   -512.359  -6.1 -13.4  -9.66  -8.34  3.730  0.124  0.129 -0.018  0.000  3.877  3.643
 24  38  0.000   -524.392  -6.0 -14.5  -8.73 -10.24  3.743  0.000  0.000  0.000  0.000  3.930  3.657
 24  40  0.000   -535.685  -4.3 -15.7   0.00 -10.39  3.763  0.000  0.000  0.000  0.000  3.987  3.677
 24  42  0.000   -541.694  -2.9 -17.0  -8.47 -10.55  3.787  0.000  0.000  0.000  0.000  4.044  3.702
 24  44  0.194   -547.642  -3.0 -18.4  -5.30  -6.61  3.832  0.192  0.198  0.141  0.108  4.124  3.748
 24  46  0.223   -552.695  -2.1 -19.7  -5.96  -6.25  3.858  0.225  0.219  0.119  0.098  4.186  3.775
 24  48  0.259   -556.110  -1.5 -20.8  -7.83  -6.11  3.886  0.270  0.239  0.128  0.099  4.266  3.803
 24  50 -0.001   -558.691  -1.1 -22.0  -5.12 -11.15  3.874 -0.001 -0.001  0.000  0.000  4.242  3.790
 24  52 -0.004   -559.818  -0.5 -22.5 -10.63 -11.24  3.888 -0.004 -0.002  0.000  0.000  4.357  3.805
 24  54  0.191   -560.437  -0.3 -23.2 -14.06  -8.96  3.926  0.204  0.162  0.036  0.041  4.472  3.844
 24  56  0.159   -560.564   0.0 -23.7 -16.14  -9.70  3.938  0.169  0.137  0.013  0.029  4.561  3.855
 26  22  0.155   -383.636 -15.8  -0.7  -5.39  -6.68  3.691  0.142  0.166  0.061  0.062  3.428  3.603
 26  24  0.295   -414.917 -14.7  -2.0  -2.45  -5.25  3.725  0.287  0.303  0.136  0.124  3.524  3.638
 26  26  0.268   -442.435 -12.8  -3.9  -3.30  -3.76  3.719  0.263  0.272  0.047  0.050  3.576  3.632
 26  28  0.000   -467.156 -11.2  -6.1   0.00  -7.54  3.682  0.000  0.000  0.000  0.000  3.583  3.594
 26  30  0.253   -487.799 -10.0  -7.1  -3.95  -4.81  3.747  0.251  0.255  0.066  0.063  3.697  3.661
 26  32  0.244   -506.423  -8.9  -8.6  -6.15  -4.09  3.767  0.244  0.243  0.001  0.017  3.764  3.681
 26  34  0.237   -523.367  -7.7 -10.1  -2.87  -3.28  3.788  0.239  0.234 -0.057 -0.024  3.825  3.702
 26  36  0.140   -537.453  -7.2 -11.4  -8.89  -6.35  3.790  0.137  0.143 -0.026 -0.013  3.874  3.705
 26  38  0.000   -551.942  -7.2 -12.9  -8.38  -8.70  3.800  0.000  0.000  0.000  0.000  3.922  3.715
 26  40  0.000   -565.522  -5.6 -14.0  -0.01  -8.90  3.819  0.000  0.000  0.000  0.000  3.977  3.734
 26  42  0.000   -574.242  -4.2 -15.3  -8.37  -9.08  3.842  0.000  0.000  0.000  0.000  4.032  3.757
 26  44  0.150   -582.334  -4.1 -16.4  -6.93  -7.82  3.877  0.149  0.153  0.077  0.057  4.099  3.794
 26  46  0.192   -589.972  -3.4 -17.5  -5.05  -7.45  3.906  0.191  0.194  0.068  0.055  4.156  3.823
 26  48  0.135   -595.805  -2.6 -18.9  -5.72  -8.12  3.915  0.134  0.135  0.009  0.010  4.189  3.833
 26  50  0.000   -601.497  -1.9 -20.4  -0.01  -9.75  3.924  0.000  0.000  0.000  0.000  4.207  3.841
 26  52 -0.003   -603.401  -1.0 -20.8  -8.71  -9.96  3.941 -0.003 -0.002  0.000  0.000  4.318  3.859
 26  54  0.250   -605.269  -1.0 -21.4 -11.70  -8.25  4.004  0.261  0.225  0.038  0.048  4.432  3.923
 26  56  0.237   -606.819  -0.7 -22.1 -12.93  -8.65  4.021  0.248  0.214  0.007  0.038  4.501  3.941
 26  58  0.215   -607.665  -0.4 -22.8 -14.92  -9.07  4.036  0.222  0.198 -0.016  0.027  4.575  3.956
 26  60  0.181   -607.986  -0.1 -23.4 -16.88  -9.62  4.048  0.184  0.174 -0.026  0.017  4.650  3.968
 28  22  0.000   -383.870 -17.0   1.2  -7.18  -1.72  3.740  0.000  0.000  0.000  0.000  3.432  3.653
 28  24  0.306   -417.151 -16.4  -0.4  -2.70  -6.14  3.808  0.291  0.319  0.129  0.118  3.551  3.723
 28  26 -0.001   -448.386 -15.1  -1.8  -7.36   0.00  3.734 -0.001 -0.001  0.000  0.000  3.548  3.648
 28  28  0.000   -477.282 -16.3  -3.3   0.00   0.00  3.735  0.000  0.000  0.000  0.000  3.594  3.649
 28  30  0.258   -499.885 -11.5  -5.2  -3.16  -6.04  3.817  0.253  0.264  0.074  0.076  3.716  3.732
 28  32  0.254   -521.266 -10.3  -6.5  -5.94  -6.42  3.838  0.249  0.258  0.013  0.034  3.781  3.753
 28  34 -0.215   -540.877  -9.3  -8.2  -5.11  -4.60  3.845 -0.222 -0.205  0.058  0.068  3.834  3.761
 28  36  0.001   -558.688  -9.1  -9.0 -11.56  -0.01  3.829  0.001  0.001  0.000  0.000  3.860  3.745
 28  38  0.000   -576.068  -8.4 -10.3  -7.96  -0.62  3.848  0.000  0.000  0.000  0.000  3.915  3.764
 28  40  0.000   -591.770  -6.8 -11.4  -0.26  -1.43  3.866  0.000  0.000  0.000  0.000  3.969  3.782
 28  42  0.000   -603.149  -5.5 -12.8  -8.42  -2.05  3.888  0.000  0.000  0.000  0.000  4.022  3.805
 28  44  0.000   -613.487  -5.0 -14.1 -10.86  -2.64  3.910  0.000  0.000  0.000  0.000  4.072  3.827
 28  46 -0.001   -623.100  -4.6 -15.4 -10.55  -3.21  3.930 -0.001 -0.001  0.000  0.000  4.118  3.848
 28  48  0.000   -632.060  -4.3 -16.6  -7.49  -3.73  3.950  0.000  0.000  0.000  0.000  4.160  3.868
 28  50  0.000   -640.315  -2.8 -17.9   0.00  -4.19  3.968  0.000  0.000  0.000  0.000  4.196  3.886
 28  52 -0.001   -643.307  -1.6 -18.5  -8.11  -4.89  3.988 -0.002 -0.001  0.000  0.000  4.293  3.907
 28  54  0.219   -646.335  -1.9 -19.5  -9.53  -8.89  4.049  0.230  0.197  0.062  0.052  4.391  3.969
 28  56  0.257   -649.530  -1.4 -20.4 -10.27  -8.74  4.085  0.267  0.239  0.021  0.044  4.466  4.006
 28  58  0.242   -651.768  -1.0 -21.1 -12.45  -9.32  4.103  0.249  0.227 -0.012  0.031  4.533  4.024
 28  60 -0.205   -653.426  -0.8 -21.9 -13.68  -9.77  4.109 -0.219 -0.175  0.043  0.045  4.600  4.030
 28  62 -0.178   -654.683  -0.6 -22.5 -15.23 -10.27  4.124 -0.188 -0.154  0.004  0.027  4.659  4.045
 28  64 -0.136   -655.526  -0.4 -23.1 -16.30 -10.45  4.136 -0.142 -0.123 -0.017  0.011  4.714  4.058
 28  66 -0.057   -656.115  -0.4 -23.6 -17.57 -10.18  4.146 -0.058 -0.056 -0.009  0.000  4.764  4.068
 28  68  0.000   -656.738  -0.2 -24.4 -14.10 -10.44  4.165  0.000  0.000  0.000  0.000  4.811  4.088
 30  26  0.273   -449.890 -16.0  -0.2  -4.55  -5.72  3.872  0.264  0.281  0.059  0.064  3.626  3.788
 30  28  0.337   -480.394 -14.5  -1.4  -3.19  -6.24  3.902  0.337  0.336  0.072  0.064  3.712  3.820
 30  30  0.239   -508.555 -13.0  -3.1  -1.80  -2.63  3.871  0.234  0.244  0.085  0.090  3.726  3.788
 30  32  0.241   -532.535 -11.7  -4.7  -5.76  -5.47  3.896  0.237  0.245  0.018  0.038  3.794  3.813
 30  34 -0.242   -554.938 -10.6  -6.2  -3.16  -7.20  3.922 -0.245 -0.238  0.058  0.065  3.860  3.840
 30  36 -0.182   -574.735  -9.7  -7.2  -7.40  -7.57  3.924 -0.182 -0.183  0.013  0.028  3.901  3.842
 30  38 -0.114   -593.581  -9.0  -8.2  -5.23  -8.63  3.928 -0.112 -0.116 -0.017 -0.002  3.940  3.846
 30  40  0.000   -611.354  -8.0  -9.1  -1.50 -10.17  3.936  0.000  0.000  0.000  0.000  3.984  3.854
 30  42  0.000   -625.548  -6.8 -10.4  -8.69 -10.01  3.955  0.000  0.000  0.000  0.000  4.036  3.874
 30  44  0.157   -639.315  -6.7 -12.0  -6.98  -6.23  3.986  0.153  0.164  0.072  0.062  4.099  3.905
 30  46  0.179   -652.021  -5.8 -13.3  -4.39  -5.96  4.008  0.177  0.184  0.057  0.054  4.147  3.927
 30  48  0.124   -662.701  -5.0 -14.5  -4.27  -7.69  4.017  0.121  0.129  0.007  0.013  4.178  3.937
 30  50  0.001   -673.171  -3.8 -15.4   0.00  -9.24  4.026  0.001  0.001  0.000  0.000  4.204  3.945
