
   The included below is "mass table" calculated with the DDPC1 covariant 
energy density functional. It represent a part of the study of the global
performance of covariant energy density functionals and assesment of 
related systematic theoretical uncertainties. The major results of this
study are presented in the following publication: 

      S. E. Agbemava, A. V. Afanasjev, D. Ray and P. Ring,
     "Global performance of covariant energy density functionals: 
      Ground state observables of even-even nuclei and the estimate 
      of theoretical uncertainties", 
      Physical Review C 89, 054320 (2014)

with additional analysis provided in two follow-up publications 

      A.V.Afanasjev and S.E.Agbemava,
      "Covariant energy density functionals: Nuclear matter constraints 
       and global ground state properties"
      Phys. Rev. C 93, 054310 (2016)

      A.V. Afanasjev, S.E. Agbemava, D. Ray and P.Ring,
      "Neutron drip line: Single-particle degrees of freedom and
      pairing properties as sources of theoretical uncertainties"
      Phys. Rev. C 91, 014324 (2015).

 
  If you have questions, please, contact Anatoli Afanasjev at 
           Anatoli.Afanasjev@gmail.com

------------------------------------------------------------------------

  THE NOTATION OF THE OBSERVABLES INCLUDED INTO TABLE
 
  Z    - proton number
  N    - neutron number
 def   - equilibrium quadrupole deformation
  E    - total binding energy  (in MeV)
Lam_n  - neutron chemical potential  (in MeV)
Lam_p  - proton chemical potential (in MeV)
Ep_n   - neutron pairing energy  (in MeV)
Ep_p   - proton pairing energy  (in MeV)
Rc     - charge radius  (in fm)
B2_n   - neutron quadrupole deformation
B2_p   - proton quadrupole deformation
B4_n   - neutron hexadecapole deformation
B4_p   - neutron hexadecapole deformation
R2_n   - neutron mass radius (in fm)
R2_p   - proton mass radius (in fm)

c --------------------------------------------------------------------------
    This part of Fortran subroutine shows the formating used in the reading
    of the data from the table. 
  
     icount=1761
      do i=1,icount
        read(20,805) Z,N,def,E,ALam_n,ALam_p,Ep_n,Ep_p,Rc,
     *                B2_n,B2_p,B4_n,B4_p,R2_n,R2_p
      enddo
  6  14 -0.435   -119.877  -1.3 -28.3  -2.57   0.00  2.721 -0.473 -0.345  0.196  0.093  3.221  2.601
  6  16  0.000   -120.946  -0.5 -27.0  -5.80  -3.54  2.680  0.000  0.000  0.000  0.000  3.352  2.558
  8   4  0.000    -59.485 -20.1  -2.2  -6.12   0.00  2.921  0.000  0.000  0.000  0.000  2.324  2.809
  8   6  0.000    -98.355 -17.1  -6.7  -2.66   0.00  2.769  0.000  0.000  0.000  0.000  2.453  2.650
  8   8  0.000   -127.455 -15.4 -11.5   0.00   0.00  2.747  0.000  0.000  0.000  0.000  2.601  2.628
  8  10  0.000   -141.423  -6.5 -15.6  -7.13   0.00  2.749  0.000  0.000  0.000  0.000  2.788  2.630
  8  12  0.000   -153.215  -5.6 -19.2  -9.03   0.00  2.757  0.000  0.000  0.000  0.000  2.931  2.639
  8  14  0.000   -163.303  -4.6 -22.4  -7.38   0.00  2.770  0.000  0.000  0.000  0.000  3.058  2.652
  8  16  0.000   -170.768  -2.9 -24.9  -4.35   0.00  2.788  0.000  0.000  0.000  0.000  3.202  2.671
  8  18  0.000   -174.465  -1.6 -27.3  -6.16   0.00  2.833  0.000  0.000  0.000  0.000  3.336  2.718
  8  20  0.000   -176.718   0.1 -29.7   0.00   0.00  2.878 -0.001  0.000  0.000  0.000  3.446  2.764
 10   8  0.000   -133.508 -19.3  -2.3   0.00  -7.22  2.945  0.000  0.000  0.000  0.000  2.611  2.835
 10  10  0.441   -156.384 -11.0  -6.8  -3.28  -3.34  2.975  0.435  0.447  0.279  0.295  2.833  2.866
 10  12  0.472   -176.047  -8.2 -10.6  -2.05  -3.12  2.978  0.486  0.455  0.164  0.237  2.965  2.868
 10  14  0.268   -190.240  -6.8 -12.5  -5.45  -4.61  2.948  0.259  0.279  0.050  0.087  3.039  2.837
 10  16  0.000   -202.110  -5.3 -14.4  -4.59  -6.61  2.935  0.000  0.000  0.000  0.000  3.140  2.824
 10  18  0.000   -210.738  -4.0 -16.8  -6.00  -6.72  2.977  0.000  0.000  0.000  0.000  3.261  2.867
 10  20  0.000   -217.718  -1.7 -19.2  -0.01  -6.80  3.018  0.000  0.000  0.000  0.000  3.361  2.910
 10  22  0.268   -217.955  -0.9 -21.3  -6.36  -4.93  3.067  0.282  0.237  0.235  0.105  3.536  2.961
 10  24  0.418   -219.212  -0.3 -23.8  -6.42  -3.01  3.127  0.442  0.359  0.285  0.204  3.683  3.022
 12   8  0.000   -136.052 -22.8  -0.7   0.00  -9.38  3.109  0.000  0.000  0.000  0.000  2.626  3.004
 12  10  0.479   -166.675 -14.9  -3.3  -3.02  -2.34  3.117  0.449  0.504  0.234  0.175  2.846  3.012
 12  12  0.527   -193.904 -14.0  -6.3   0.00  -0.01  3.112  0.521  0.533  0.131  0.133  2.974  3.008
 12  14 -0.327   -213.399  -9.6 -10.5  -0.02  -5.94  3.079 -0.338 -0.315  0.132  0.121  3.040  2.974
 12  16  0.280   -229.464  -7.5 -12.2  -3.82  -4.07  3.085  0.261  0.305 -0.007  0.029  3.136  2.979
 12  18  0.000   -242.438  -6.4 -14.7  -5.98  -7.69  3.081  0.000  0.000  0.000  0.000  3.219  2.975
 12  20  0.000   -254.176  -3.9 -17.0   0.00  -7.78  3.117  0.000  0.000  0.000  0.000  3.312  3.013
 12  22  0.274   -258.609  -3.1 -18.8  -5.81  -4.98  3.172  0.274  0.276  0.181  0.093  3.460  3.069
 12  24  0.410   -264.238  -2.2 -20.3  -4.62  -2.31  3.230  0.417  0.396  0.211  0.136  3.588  3.129
 12  26  0.436   -267.232  -1.3 -22.1  -6.89  -1.64  3.263  0.449  0.408  0.091  0.102  3.707  3.163
 12  28  0.449   -268.822  -0.4 -23.7  -6.07  -1.48  3.292  0.467  0.409 -0.007  0.074  3.823  3.194
 14  10  0.293   -170.266 -16.7  -1.2  -4.43  -5.95  3.214  0.295  0.291  0.097  0.057  2.826  3.113
 14  12 -0.335   -202.298 -15.5  -7.3  -4.27  -4.67  3.192 -0.312 -0.355  0.119  0.147  2.949  3.090
 14  14 -0.377   -231.738 -16.1 -10.4   0.00   0.00  3.197 -0.372 -0.383  0.162  0.171  3.057  3.095
 14  16 -0.276   -251.989  -9.6  -9.2  -4.87  -0.01  3.183 -0.264 -0.289  0.048  0.086  3.133  3.080
 14  18 -0.159   -269.758  -8.4 -11.8  -4.02  -2.55  3.180 -0.152 -0.169 -0.003  0.018  3.206  3.077
 14  20  0.000   -285.584  -9.7 -14.1   0.00  -3.54  3.196  0.000  0.000  0.000  0.000  3.281  3.094
 14  22  0.102   -293.852  -4.0 -16.1  -7.01  -3.79  3.224  0.106  0.095  0.033  0.016  3.390  3.123
 14  24  0.297   -301.986  -3.8 -17.6  -5.13  -5.21  3.282  0.315  0.267  0.134  0.069  3.519  3.183
 14  26 -0.299   -308.472  -3.5 -19.5  -7.98  -0.01  3.311 -0.306 -0.287  0.171  0.115  3.625  3.213
 14  28 -0.360   -314.869  -2.3 -24.6  -0.06   0.00  3.355 -0.374 -0.331  0.249  0.151  3.732  3.258
 14  30 -0.326   -317.289  -1.1 -22.6  -7.37  -0.04  3.368 -0.339 -0.299  0.129  0.114  3.832  3.271
 14  32 -0.291   -318.728  -0.7 -23.9  -8.64  -1.78  3.381 -0.303 -0.263  0.044  0.076  3.924  3.285
 14  34 -0.237   -319.193  -0.1 -25.1  -9.48  -3.74  3.396 -0.243 -0.223 -0.003  0.046  4.017  3.301
 16  10  0.102   -170.538 -18.5   0.7  -6.29  -4.91  3.340  0.108  0.099  0.011  0.001  2.819  3.242
 16  12  0.301   -206.938 -17.0  -1.3  -3.66  -4.23  3.307  0.320  0.286  0.034 -0.011  2.965  3.209
 16  14 -0.285   -239.797 -18.0  -3.4   0.00  -4.98  3.287 -0.290 -0.280  0.087  0.052  3.053  3.189
 16  16 -0.153   -266.230 -12.5  -6.2  -5.16  -5.20  3.263 -0.151 -0.156  0.000  0.000  3.121  3.164
 16  18  0.000   -289.290 -11.0  -8.5  -6.04  -6.17  3.268  0.000  0.000  0.000  0.000  3.202  3.168
 16  20  0.000   -309.787 -11.9 -10.8   0.00  -6.95  3.292  0.000  0.000  0.000  0.000  3.286  3.194
 16  22  0.095   -322.314  -6.1 -12.9  -6.85  -6.72  3.314  0.096  0.093  0.019  0.007  3.386  3.216
 16  24  0.258   -334.598  -5.8 -14.6  -5.46  -3.38  3.353  0.271  0.238  0.075  0.025  3.494  3.256
 16  26  0.289   -345.017  -4.6 -16.4  -4.76  -1.57  3.380  0.304  0.265  0.016  0.003  3.582  3.284
 16  28  0.314   -352.739  -3.4 -17.8  -5.64  -0.74  3.408  0.335  0.277 -0.008 -0.007  3.683  3.313
 16  30 -0.237   -358.750  -2.8 -19.7  -7.42  -5.53  3.418 -0.250 -0.213  0.049  0.031  3.760  3.323
 16  32 -0.238   -363.398  -2.1 -21.1  -8.16  -5.62  3.445 -0.252 -0.210  0.015  0.021  3.855  3.350
 16  34 -0.230   -366.700  -1.4 -22.5  -8.16  -5.78  3.473 -0.241 -0.205 -0.010  0.014  3.943  3.380
 16  36 -0.155   -368.692  -0.9 -23.7  -9.56  -6.62  3.485 -0.155 -0.153 -0.031  0.000  4.020  3.392
 16  38  0.000   -370.136  -0.7 -24.9  -9.93  -8.66  3.499  0.000  0.000  0.000  0.000  4.081  3.407
 16  40  0.000   -370.930   0.3 -26.2  -3.67  -8.94  3.535  0.000  0.000  0.000  0.000  4.147  3.443
 18  12 -0.083   -207.010 -19.4   0.3  -7.61  -5.75  3.406 -0.089 -0.079  0.005 -0.002  2.963  3.311
 18  14 -0.175   -244.660 -17.3  -1.5  -2.59  -3.99  3.374 -0.182 -0.171  0.022 -0.006  3.057  3.278
 18  16  0.000   -276.076 -14.8  -4.2  -6.22  -6.15  3.355  0.000  0.000  0.000  0.000  3.133  3.258
 18  18  0.000   -304.047 -13.4  -6.5  -6.36  -6.47  3.365  0.000  0.000  0.000  0.000  3.223  3.268
 18  20  0.000   -329.596 -10.4  -8.8   0.00  -6.80  3.380  0.000  0.000  0.000  0.000  3.299  3.284
 18  22  0.000   -345.916  -7.9 -10.8  -7.34  -6.95  3.392  0.000  0.000  0.000  0.000  3.389  3.296
 18  24  0.097   -360.981  -7.3 -12.6  -8.67  -6.29  3.409  0.106  0.085  0.010  0.002  3.472  3.314
 18  26 -0.117   -374.799  -6.6 -14.4  -7.92  -5.28  3.426 -0.121 -0.111  0.014  0.003  3.546  3.331
 18  28 -0.152   -387.024  -5.4 -15.9  -4.24  -3.95  3.445 -0.159 -0.142  0.028  0.007  3.621  3.351
 18  30 -0.184   -396.071  -4.2 -17.1  -6.98  -2.64  3.472 -0.194 -0.167  0.011  0.000  3.722  3.379
 18  32 -0.216   -403.503  -3.5 -18.2  -8.06  -0.88  3.506 -0.230 -0.192  0.000 -0.006  3.818  3.414
 18  34 -0.226   -409.605  -2.7 -19.4  -7.28  -0.06  3.538 -0.240 -0.200 -0.015 -0.010  3.902  3.447
 18  36 -0.151   -414.015  -2.2 -21.2  -9.33  -3.79  3.550 -0.156 -0.142 -0.033 -0.011  3.969  3.459
 18  38  0.000   -418.196  -2.0 -22.9  -9.81  -7.26  3.565  0.000  0.000  0.000  0.000  4.030  3.474
 18  40  0.000   -421.638  -0.8 -24.2  -1.74  -7.29  3.597  0.000  0.000  0.000  0.000  4.091  3.507
 20  14  0.000   -246.507 -19.5   1.1  -4.19   0.00  3.460  0.000  0.000  0.000  0.000  3.077  3.366
 20  16  0.000   -282.548 -17.0  -0.9  -7.05   0.00  3.448  0.000  0.000  0.000  0.000  3.166  3.354
 20  18  0.000   -315.127 -15.6  -3.1  -6.71   0.00  3.450  0.000  0.000  0.000  0.000  3.246  3.356
 20  20  0.000   -344.360 -16.5  -8.9   0.00   0.00  3.457  0.000  0.000  0.000  0.000  3.315  3.363
 20  22  0.000   -365.611  -9.9  -7.2  -7.22  -0.01  3.463  0.000  0.000  0.000  0.000  3.400  3.370
 20  24  0.000   -384.340  -9.1 -13.0  -9.32   0.00  3.472  0.000  0.000  0.000  0.000  3.473  3.378
 20  26  0.000   -401.887  -8.4 -14.5  -7.91   0.00  3.481  0.000  0.000  0.000  0.000  3.539  3.388
 20  28  0.000   -417.819  -6.8 -15.9  -1.11   0.00  3.490  0.000  0.000  0.000  0.000  3.595  3.397
 20  30  0.000   -429.139  -5.4 -17.7  -7.14   0.00  3.511  0.000  0.000  0.000  0.000  3.691  3.418
 20  32  0.000   -438.864  -4.7 -19.2  -9.99   0.00  3.533  0.000  0.000  0.000  0.000  3.778  3.441
 20  34  0.000   -447.391  -4.1 -20.5 -12.27   0.00  3.560  0.000  0.000  0.000  0.000  3.858  3.469
 20  36  0.000   -455.097  -3.7 -21.7 -12.52   0.00  3.589  0.000  0.000  0.000  0.000  3.929  3.499
 20  38  0.000   -462.198  -3.3 -19.3  -9.86   0.00  3.618  0.000  0.000  0.000  0.000  3.994  3.528
 20  40  0.000   -468.015  -2.0 -24.0  -1.56   0.00  3.646  0.000  0.000  0.000  0.000  4.054  3.557
 20  42  0.000   -470.039  -0.8 -21.7 -10.41   0.00  3.669  0.000  0.000  0.000  0.000  4.120  3.581
 20  44  0.000   -470.997  -0.5 -25.9 -14.58   0.00  3.692  0.000  0.000  0.000  0.000  4.188  3.604
 20  46  0.001   -471.660  -0.2 -23.8 -16.92   0.00  3.713  0.002  0.000  0.000  0.000  4.259  3.625
 20  48  0.000   -471.683   0.0 -27.7 -18.33   0.00  3.732  0.000  0.000  0.000  0.000  4.338  3.645
 22  18  0.000   -316.573 -17.7  -0.2  -6.89  -7.73  3.548  0.000  0.000  0.000  0.000  3.265  3.457
 22  20  0.000   -350.327 -18.6  -2.2   0.00  -7.54  3.548  0.000  0.000  0.000  0.000  3.329  3.456
 22  22  0.000   -375.075 -11.8  -4.1  -7.10  -7.37  3.551  0.000  0.000  0.000  0.000  3.411  3.459
 22  24  0.191   -398.094 -11.1  -6.8  -5.54  -5.24  3.575  0.200  0.182  0.094  0.099  3.501  3.484
 22  26  0.124   -419.022 -10.0  -8.1  -6.16  -6.04  3.571  0.129  0.119  0.031  0.036  3.552  3.480
 22  28  0.000   -438.508  -8.4  -9.5  -0.01  -7.02  3.569  0.000  0.000  0.000  0.000  3.597  3.478
 22  30  0.000   -452.302  -6.7 -10.7  -7.20  -7.07  3.590  0.000  0.000  0.000  0.000  3.687  3.500
 22  32  0.100   -464.711  -6.0 -12.3  -9.96  -6.45  3.621  0.106  0.091  0.012  0.016  3.772  3.531
 22  34  0.074   -475.925  -5.5 -13.5 -12.11  -6.79  3.644  0.078  0.068  0.002  0.007  3.844  3.555
 22  36  0.000   -486.280  -5.1 -14.7 -12.83  -7.28  3.668  0.000  0.000  0.000  0.000  3.910  3.579
 22  38  0.000   -495.913  -4.6 -16.0  -9.94  -7.35  3.695  0.000  0.000  0.000  0.000  3.973  3.607
 22  40  0.000   -504.418  -3.3 -17.3  -1.70  -7.42  3.721  0.000  0.000  0.000  0.000  4.031  3.634
 22  42  0.000   -508.910  -2.0 -18.6  -9.75  -7.45  3.743  0.000  0.000  0.000  0.000  4.090  3.657
 22  44  0.000   -512.428  -1.7 -19.8 -12.98  -7.50  3.766  0.000  0.000  0.000  0.000  4.148  3.680
 22  46  0.138   -515.426  -1.4 -21.3 -11.18  -6.26  3.796  0.146  0.121  0.066  0.045  4.219  3.711
 22  48 -0.001   -517.602  -1.0 -22.1 -13.08  -7.59  3.808 -0.001  0.000  0.000  0.000  4.261  3.723
 22  50 -0.001   -519.072  -0.6 -23.0 -12.39  -7.63  3.827 -0.001 -0.001  0.000  0.000  4.331  3.742
 22  52  0.000   -519.599  -0.2 -23.6 -14.34  -7.65  3.841  0.000  0.000  0.000  0.000  4.429  3.757
 24  20  0.000   -353.339 -20.5  -0.8   0.00  -9.79  3.630  0.000  0.000  0.000  0.000  3.345  3.541
 24  22  0.190   -381.971 -14.5  -2.8  -4.93  -6.07  3.648  0.174  0.204  0.092  0.102  3.441  3.559
 24  24  0.304   -410.388 -13.1  -4.8  -1.79  -2.14  3.675  0.299  0.308  0.170  0.181  3.536  3.587
 24  26  0.261   -434.243 -11.1  -6.6  -3.52  -3.74  3.669  0.257  0.264  0.077  0.103  3.586  3.581
 24  28  0.000   -455.782  -9.8  -7.9   0.00  -8.76  3.638  0.000  0.000  0.000  0.000  3.603  3.549
 24  30  0.229   -473.314  -8.4  -9.6  -4.14  -4.63  3.691  0.229  0.228  0.068  0.080  3.711  3.604
 24  32  0.223   -488.600  -7.3 -11.1  -7.20  -5.11  3.714  0.225  0.221  0.025  0.053  3.784  3.627
 24  34  0.190   -502.167  -6.5 -12.3  -9.00  -6.01  3.732  0.191  0.190 -0.007  0.024  3.848  3.645
 24  36  0.117   -514.487  -6.1 -13.3 -10.94  -7.66  3.744  0.114  0.121 -0.010  0.005  3.904  3.657
 24  38  0.000   -526.451  -5.9 -14.5  -9.95  -9.28  3.760  0.000  0.000  0.000  0.000  3.958  3.674
 24  40  0.000   -537.443  -4.6 -15.7  -2.16  -9.36  3.784  0.000  0.000  0.000  0.000  4.015  3.698
 24  42  0.000   -544.558  -3.3 -17.0  -9.42  -9.39  3.805  0.000  0.000  0.000  0.000  4.071  3.720
 24  44  0.188   -551.098  -3.4 -18.3  -7.53  -5.52  3.847  0.186  0.192  0.118  0.091  4.149  3.762
 24  46  0.217   -556.939  -2.5 -19.6  -6.83  -4.87  3.872  0.218  0.216  0.109  0.091  4.210  3.789
 24  48  0.229   -561.027  -1.8 -20.7  -8.49  -5.12  3.893  0.235  0.216  0.094  0.077  4.275  3.810
 24  50  0.000   -564.223  -1.3 -21.7  -5.44  -9.58  3.887  0.000  0.000  0.000  0.000  4.275  3.804
 24  52  0.187   -565.832  -0.8 -22.3 -11.15  -6.90  3.920  0.198  0.163  0.060  0.043  4.398  3.837
 24  54  0.180   -566.895  -0.4 -23.0 -13.11  -7.31  3.936  0.192  0.153  0.033  0.034  4.478  3.854
 24  56  0.166   -567.279  -0.2 -23.5 -15.40  -7.68  3.951  0.175  0.144  0.009  0.026  4.563  3.869
 26  20  0.000   -353.708 -22.0   0.5   0.00  -8.72  3.706  0.000  0.000  0.000  0.000  3.361  3.618
 26  22  0.136   -385.682 -15.8  -1.1  -5.66  -6.61  3.710  0.125  0.145  0.041  0.041  3.447  3.623
 26  24  0.269   -417.042 -14.9  -2.3  -3.25  -4.07  3.736  0.264  0.274  0.105  0.090  3.539  3.649
 26  26  0.249   -445.059 -12.9  -4.0  -2.19  -2.52  3.731  0.245  0.253  0.030  0.031  3.593  3.644
 26  28  0.000   -470.107 -11.3  -6.4   0.00  -6.93  3.700  0.000  0.000  0.000  0.000  3.611  3.613
 26  30  0.224   -490.288 -10.0  -7.2  -4.05  -3.35  3.753  0.225  0.224  0.045  0.038  3.715  3.667
 26  32  0.234   -508.666  -8.8  -8.6  -6.43  -2.59  3.779  0.236  0.233  0.000  0.012  3.788  3.694
 26  34  0.220   -525.086  -7.8 -10.0  -6.79  -2.36  3.800  0.220  0.220 -0.036 -0.012  3.851  3.715
 26  36  0.135   -539.602  -7.3 -11.5 -10.28  -5.29  3.806  0.131  0.140 -0.019 -0.007  3.899  3.721
 26  38  0.000   -554.020  -7.1 -12.9  -9.88  -7.51  3.818  0.000  0.000  0.000  0.000  3.948  3.733
 26  40  0.000   -567.429  -5.8 -14.2  -2.85  -7.59  3.839  0.000  0.000  0.000  0.000  4.003  3.755
 26  42  0.000   -577.161  -4.6 -15.4  -9.27  -7.61  3.860  0.000  0.000  0.000  0.000  4.057  3.776
 26  44  0.119   -585.820  -4.3 -16.5  -9.29  -6.24  3.888  0.118  0.122  0.042  0.029  4.119  3.805
 26  46  0.175   -594.048  -3.7 -17.5  -6.55  -5.13  3.916  0.174  0.175  0.052  0.039  4.179  3.834
 26  48  0.115   -600.584  -3.0 -18.9  -6.68  -6.28  3.926  0.115  0.116  0.009  0.008  4.214  3.844
 26  50  0.000   -606.728  -2.1 -20.3  -0.04  -7.77  3.938  0.000  0.000  0.000  0.000  4.242  3.856
 26  52  0.003   -609.171  -1.2 -20.8  -8.53  -7.90  3.953  0.003  0.002  0.000  0.000  4.339  3.872
 26  54  0.178   -611.351  -1.1 -21.2 -11.11  -6.17  3.990  0.190  0.153  0.029  0.023  4.434  3.909
 26  56  0.205   -613.044  -0.8 -21.8 -13.08  -5.88  4.018  0.217  0.180  0.000  0.020  4.512  3.938
 26  58  0.194   -614.074  -0.5 -22.4 -15.47  -6.15  4.038  0.203  0.175 -0.020  0.014  4.585  3.958
 26  60  0.165   -614.590  -0.2 -23.1 -17.75  -6.73  4.052  0.169  0.155 -0.026  0.008  4.656  3.972
 26  62  0.125   -614.727  -0.1 -23.7 -19.52  -7.54  4.065  0.126  0.125 -0.021  0.004  4.722  3.985
 28  22  0.000   -386.659 -17.1   0.8  -6.87  -1.25  3.763  0.000  0.000  0.000  0.000  3.451  3.677
 28  24  0.000   -420.032 -16.2  -0.6  -8.64  -0.03  3.756  0.000  0.000  0.000  0.000  3.514  3.670
 28  26  0.000   -451.634 -15.3  -2.0  -6.81   0.00  3.755  0.000  0.000  0.000  0.000  3.570  3.669
 28  28  0.000   -480.454 -16.4  -6.9   0.00   0.00  3.755  0.000  0.000  0.000  0.000  3.618  3.669
 28  30  0.007   -502.885 -10.6  -8.1  -7.81   0.00  3.777  0.008  0.007  0.000  0.000  3.694  3.691
 28  32  0.180   -523.387 -10.1  -6.4  -7.43  -4.23  3.827  0.188  0.171  0.011  0.021  3.785  3.743
 28  34  0.066   -542.665  -9.5 -10.0 -12.71   0.00  3.826  0.072  0.058  0.000  0.002  3.829  3.741
 28  36 -0.002   -560.832  -9.0 -12.2 -12.96   0.00  3.846 -0.002 -0.002  0.000  0.000  3.885  3.762
 28  38  0.000   -578.494  -8.4 -10.1  -9.73   0.00  3.867  0.000  0.000  0.000  0.000  3.940  3.784
 28  40  0.000   -594.248  -7.0 -11.3  -3.67  -0.01  3.887  0.000  0.000  0.000  0.000  3.993  3.804
 28  42  0.000   -606.568  -5.8 -12.6  -9.22  -0.01  3.906  0.000  0.000  0.000  0.000  4.046  3.823
 28  44  0.000   -617.614  -5.3 -13.8 -11.28   0.00  3.925  0.000  0.000  0.000  0.000  4.096  3.842
 28  46  0.000   -627.820  -4.9 -15.0 -10.76  -0.01  3.944  0.000  0.000  0.000  0.000  4.143  3.862
 28  48  0.000   -637.264  -4.5 -16.2  -7.61  -0.01  3.962  0.000  0.000  0.000  0.000  4.187  3.880
 28  50  0.000   -645.860  -3.0 -17.5  -0.01  -0.03  3.979  0.000  0.000  0.000  0.000  4.226  3.898
 28  52  0.001   -649.385  -1.8 -18.1  -7.61   0.00  3.996  0.002  0.001  0.000  0.000  4.313  3.915
 28  54  0.002   -652.387  -1.5 -18.7 -12.27  -0.01  4.013  0.002  0.001  0.000  0.000  4.394  3.933
 28  56  0.000   -654.940  -1.3 -19.4 -15.85  -0.03  4.031  0.000  0.000  0.000  0.000  4.470  3.951
 28  58  0.196   -657.184  -1.1 -20.6 -14.32  -6.92  4.093  0.208  0.173 -0.007  0.021  4.547  4.014
 28  60  0.152   -659.015  -0.9 -21.2 -17.47  -6.36  4.103  0.161  0.134 -0.015  0.011  4.608  4.024
 28  62  0.073   -660.545  -0.8 -21.7 -20.89  -3.73  4.106  0.077  0.063 -0.006  0.003  4.665  4.028
 28  64  0.000   -661.887  -0.7 -22.3 -21.90  -2.80  4.125  0.000  0.000  0.000  0.000  4.719  4.047
 28  66  0.000   -662.982  -0.5 -23.0 -20.15  -3.70  4.150  0.000  0.000  0.000  0.000  4.769  4.073
 28  68  0.000   -663.711  -0.2 -23.8 -16.63  -4.51  4.176  0.000  0.000  0.000  0.000  4.817  4.098
 30  26  0.233   -452.830 -15.9  -0.2  -3.20  -4.91  3.876  0.223  0.241  0.036  0.045  3.628  3.793
 30  28  0.005   -483.700 -17.6  -0.8   0.00  -7.86  3.844  0.004  0.006  0.000  0.000  3.645  3.760
 30  30  0.233   -510.687 -12.8  -3.0  -2.18  -2.65  3.888  0.228  0.238  0.068  0.074  3.746  3.804
 30  32  0.234   -534.328 -11.4  -4.5  -6.19  -4.33  3.909  0.231  0.236  0.017  0.036  3.813  3.827
 30  34 -0.235   -556.351 -10.5  -5.8  -5.08  -6.84  3.937 -0.239 -0.231  0.048  0.056  3.883  3.855
